SNR,TPR,FPR,TTFD,Alpha (%),Feature,Window,Detection
-15.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-15.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-15.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-15.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-15.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-15.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-15.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-12.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-12.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-12.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-12.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-12.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-12.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-12.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-12.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-12.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-12.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-12.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-12.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-12.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-12.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-12.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-10.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-10.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-10.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-10.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-10.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-10.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-10.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-10.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-10.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-10.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-10.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-10.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-10.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-10.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-10.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-7.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-7.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-7.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-7.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-7.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-7.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-7.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-7.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-7.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-7.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-7.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
