SNR,TPR,FPR,TTFD,Alpha (%),Feature,Window,Detection
-17.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-17.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-17.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-17.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-17.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-17.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-17.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-17.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-17.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-17.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-17.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-17.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-17.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-17.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-17.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-15.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-15.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-15.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-15.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-15.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-15.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-15.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-15.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-15.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-15.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-15.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-15.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-15.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-15.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-15.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-12.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-12.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-12.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-12.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-12.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-12.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-12.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-12.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-12.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-12.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-12.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-12.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-12.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
