mmin,mmax,mstep,minwindowsize,ntests,eegchannel,stimlvl,method,tp,fp,tn,fn
55,240,186,185,2,Cz,50dB,cgst,0.0113636363636364,0.5,0.602272727272727,1
56,240,185,184,2,Cz,50dB,cgst,0,0.511363636363636,0.590909090909091,1
57,240,184,183,2,Cz,50dB,cgst,0.0113636363636364,0.522727272727273,0.602272727272727,1
58,240,183,182,2,Cz,50dB,cgst,0.0113636363636364,0.511363636363636,0.613636363636364,1
59,240,182,181,2,Cz,50dB,cgst,0.0113636363636364,0.5,0.613636363636364,1
60,240,181,180,2,Cz,50dB,cgst,0.0113636363636364,0.5,0.613636363636364,1
61,240,180,179,2,Cz,50dB,cgst,0.0113636363636364,0.477272727272727,0.625,0.988636363636364
62,240,179,178,2,Cz,50dB,cgst,0.0113636363636364,0.465909090909091,0.636363636363636,0.988636363636364
63,240,178,177,2,Cz,50dB,cgst,0.0113636363636364,0.465909090909091,0.625,0.988636363636364
64,240,177,176,2,Cz,50dB,cgst,0.0113636363636364,0.488636363636364,0.647727272727273,0.988636363636364
65,240,176,175,2,Cz,50dB,cgst,0.0113636363636364,0.488636363636364,0.636363636363636,1
66,240,175,174,2,Cz,50dB,cgst,0.0113636363636364,0.488636363636364,0.647727272727273,1
67,240,174,173,2,Cz,50dB,cgst,0.0113636363636364,0.488636363636364,0.636363636363636,1
68,240,173,172,2,Cz,50dB,cgst,0.0113636363636364,0.5,0.625,1
69,240,172,171,2,Cz,50dB,cgst,0.0227272727272727,0.5,0.636363636363636,1
70,240,171,170,2,Cz,50dB,cgst,0.0113636363636364,0.5,0.625,1
71,240,170,169,2,Cz,50dB,cgst,0.0113636363636364,0.511363636363636,0.613636363636364,1
72,240,169,168,2,Cz,50dB,cgst,0.0113636363636364,0.511363636363636,0.625,1
73,240,168,167,2,Cz,50dB,cgst,0.0113636363636364,0.5,0.636363636363636,1
74,240,167,166,2,Cz,50dB,cgst,0.0113636363636364,0.522727272727273,0.636363636363636,1
75,240,166,165,2,Cz,50dB,cgst,0,0.522727272727273,0.647727272727273,1
76,240,165,164,2,Cz,50dB,cgst,0,0.5,0.636363636363636,1
77,240,164,163,2,Cz,50dB,cgst,0,0.465909090909091,0.636363636363636,1
78,240,163,162,2,Cz,50dB,cgst,0.0113636363636364,0.488636363636364,0.647727272727273,1
79,240,162,161,2,Cz,50dB,cgst,0.0113636363636364,0.454545454545455,0.647727272727273,1
80,240,161,160,2,Cz,50dB,cgst,0.0113636363636364,0.477272727272727,0.647727272727273,1
81,240,160,159,2,Cz,50dB,cgst,0.0113636363636364,0.454545454545455,0.647727272727273,1
82,240,159,158,2,Cz,50dB,cgst,0.0113636363636364,0.454545454545455,0.647727272727273,1
83,240,158,157,2,Cz,50dB,cgst,0,0.465909090909091,0.647727272727273,1
84,240,157,156,2,Cz,50dB,cgst,0,0.454545454545455,0.659090909090909,1
85,240,156,155,2,Cz,50dB,cgst,0,0.443181818181818,0.659090909090909,1
86,240,155,154,2,Cz,50dB,cgst,0.0113636363636364,0.420454545454545,0.670454545454545,1
87,240,154,153,2,Cz,50dB,cgst,0.0113636363636364,0.431818181818182,0.659090909090909,1
88,240,153,152,2,Cz,50dB,cgst,0.0113636363636364,0.420454545454545,0.670454545454545,1
89,240,152,151,2,Cz,50dB,cgst,0.0113636363636364,0.420454545454545,0.659090909090909,1
90,240,151,150,2,Cz,50dB,cgst,0.0113636363636364,0.420454545454545,0.670454545454545,1
91,240,150,149,2,Cz,50dB,cgst,0.0113636363636364,0.397727272727273,0.681818181818182,1
92,240,149,148,2,Cz,50dB,cgst,0.0113636363636364,0.409090909090909,0.704545454545455,1
93,240,148,147,2,Cz,50dB,cgst,0.0227272727272727,0.409090909090909,0.681818181818182,1
94,240,147,146,2,Cz,50dB,cgst,0.0227272727272727,0.420454545454545,0.704545454545455,1
95,240,146,145,2,Cz,50dB,cgst,0.0227272727272727,0.420454545454545,0.715909090909091,1
96,240,145,144,2,Cz,50dB,cgst,0.0227272727272727,0.420454545454545,0.715909090909091,1
97,240,144,143,2,Cz,50dB,cgst,0.0227272727272727,0.420454545454545,0.704545454545455,1
98,240,143,142,2,Cz,50dB,cgst,0.0227272727272727,0.386363636363636,0.715909090909091,1
99,240,142,141,2,Cz,50dB,cgst,0.0340909090909091,0.397727272727273,0.704545454545455,1
100,240,141,140,2,Cz,50dB,cgst,0.0227272727272727,0.420454545454545,0.704545454545455,1
101,240,140,139,2,Cz,50dB,cgst,0.0227272727272727,0.397727272727273,0.704545454545455,1
102,240,139,138,2,Cz,50dB,cgst,0.0340909090909091,0.375,0.715909090909091,1
103,240,138,137,2,Cz,50dB,cgst,0.0227272727272727,0.386363636363636,0.727272727272727,0.988636363636364
104,240,137,136,2,Cz,50dB,cgst,0.0113636363636364,0.375,0.727272727272727,0.988636363636364
105,240,136,135,2,Cz,50dB,cgst,0.0227272727272727,0.363636363636364,0.727272727272727,0.988636363636364
106,240,135,134,2,Cz,50dB,cgst,0.0227272727272727,0.363636363636364,0.704545454545455,0.988636363636364
107,240,134,133,2,Cz,50dB,cgst,0.0113636363636364,0.363636363636364,0.693181818181818,0.988636363636364
108,240,133,132,2,Cz,50dB,cgst,0.0227272727272727,0.375,0.681818181818182,0.988636363636364
109,240,132,131,2,Cz,50dB,cgst,0.0227272727272727,0.386363636363636,0.704545454545455,0.988636363636364
110,240,131,130,2,Cz,50dB,cgst,0.0227272727272727,0.363636363636364,0.693181818181818,0.988636363636364
111,240,130,129,2,Cz,50dB,cgst,0.0227272727272727,0.363636363636364,0.715909090909091,0.988636363636364
112,240,129,128,2,Cz,50dB,cgst,0.0227272727272727,0.352272727272727,0.75,0.988636363636364
113,240,128,127,2,Cz,50dB,cgst,0.0227272727272727,0.363636363636364,0.75,0.988636363636364
114,240,127,126,2,Cz,50dB,cgst,0.0113636363636364,0.363636363636364,0.738636363636364,0.988636363636364
115,240,126,125,2,Cz,50dB,cgst,0.0227272727272727,0.363636363636364,0.75,0.988636363636364
116,240,125,124,2,Cz,50dB,cgst,0.0227272727272727,0.363636363636364,0.738636363636364,0.988636363636364
117,240,124,123,2,Cz,50dB,cgst,0.0227272727272727,0.363636363636364,0.761363636363636,0.988636363636364
118,240,123,122,2,Cz,50dB,cgst,0.0227272727272727,0.352272727272727,0.784090909090909,0.988636363636364
119,240,122,121,2,Cz,50dB,cgst,0.0227272727272727,0.363636363636364,0.761363636363636,0.988636363636364
120,240,121,120,2,Cz,50dB,cgst,0.0227272727272727,0.318181818181818,0.784090909090909,0.988636363636364
121,240,120,119,2,Cz,50dB,cgst,0.0113636363636364,0.340909090909091,0.784090909090909,0.988636363636364
122,240,119,118,2,Cz,50dB,cgst,0.0113636363636364,0.318181818181818,0.784090909090909,0.988636363636364
123,240,118,117,2,Cz,50dB,cgst,0.0113636363636364,0.329545454545455,0.795454545454545,0.988636363636364
124,240,117,116,2,Cz,50dB,cgst,0.0227272727272727,0.340909090909091,0.795454545454545,0.988636363636364
